name,region,alias
塔城市,新疆维吾尔自治区,
乌苏市,新疆维吾尔自治区,
阿勒泰市,新疆维吾尔自治区,
霍尔果斯市,新疆维吾尔自治区,
石河子市,新疆维吾尔自治区,
阿拉尔市,新疆维吾尔自治区,
图木舒克市,新疆维吾尔自治区,
五家渠市,新疆维吾尔自治区,
北屯市,新疆维吾尔自治区,
铁门关市,新疆维吾尔自治区,
双河市,新疆维吾尔自治区,
可克达拉市,新疆维吾尔自治区,
昆玉市,新疆维吾尔自治区,
黔南布依族苗族自治州,贵州省,"黔南市布依族苗族自治州"
